PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,51,999,008,02,026,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Malo,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,5 cuartos,Si,1,6,3 dormitorios,#NULL !,22015199900802,22015199900802026,220151999008020261,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,030,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199900802,22015199900802030,220151999008020301,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,031,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,8,0,Por carro recolector,2 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199900802,22015199900802031,220151999008020311,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,033,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199900802,22015199900802033,220151999008020331,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,034,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,5,1 dormitorio,#NULL !,22015199900802,22015199900802034,220151999008020341,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,035,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,3 cuartos,Si,1,7,3 dormitorios,1,22015199900802,22015199900802035,220151999008020351,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,039,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,1 cuarto,Si,1,5,1 dormitorio,#NULL !,22015199900802,22015199900802039,220151999008020391,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,044,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,No tiene medidor,3,0,Por carro recolector,4 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199900802,22015199900802044,220151999008020441,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,045,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,"Por tubería fuera del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900802,22015199900802045,220151999008020451,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,047,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199900802,22015199900802047,220151999008020471,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,009,01,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,7,1 dormitorio,#NULL !,22015199900901,22015199900901001,220151999009010011,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,01,002,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,1,Sin dormitorio,#NULL !,22015199900901,22015199900901002,220151999009010021,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,01,003,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,8,3 dormitorios,#NULL !,22015199900901,22015199900901003,220151999009010031,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,001,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900902,22015199900902001,220151999009020011,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,002,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900902,22015199900902002,220151999009020021,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,003,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,5 cuartos,Si,1,1,3 dormitorios,#NULL !,22015199900902,22015199900902003,220151999009020031,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,004,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900902,22015199900902004,220151999009020041,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,005,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,4 cuartos,Si,1,10,4 dormitorios,#NULL !,22015199900902,22015199900902005,220151999009020051,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,006,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,4 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199900902,22015199900902006,220151999009020061,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,007,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,1,3,Por carro recolector,2 cuartos,Si,1,5,1 dormitorio,#NULL !,22015199900902,22015199900902007,220151999009020071,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,009,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,No tiene medidor,1,0,Por carro recolector,1 cuarto,Si,1,1,1 dormitorio,#NULL !,22015199900902,22015199900902009,220151999009020091,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,010,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,6,3 dormitorios,#NULL !,22015199900902,22015199900902010,220151999009020101,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,011,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,"Asbesto (Eternit, Eurolit)",Adobe o tapia,Ladrillo o cemento,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,8,0,Por carro recolector,4 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199900902,22015199900902011,220151999009020111,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,012,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,4 cuartos,Si,1,3,3 dormitorios,#NULL !,22015199900902,22015199900902012,220151999009020121,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,014,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,3 cuartos,Si,1,3,3 dormitorios,#NULL !,22015199900902,22015199900902014,220151999009020141,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,02,015,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,2 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199900902,22015199900902015,220151999009020151,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,10,2 dormitorios,#NULL !,22015199900903,22015199900903001,220151999009030011,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,002,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",2 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199900903,22015199900903002,220151999009030021,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,4,1 dormitorio,#NULL !,22015199900903,22015199900903003,220151999009030031,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,004,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900903,22015199900903004,220151999009030041,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,12,4 dormitorios,#NULL !,22015199900903,22015199900903005,220151999009030051,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,006,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199900903,22015199900903006,220151999009030061,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,007,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,1,1 dormitorio,#NULL !,22015199900903,22015199900903007,220151999009030071,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,012,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199900903,22015199900903012,220151999009030121,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,013,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199900903,22015199900903013,220151999009030131,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,014,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199900903,22015199900903014,220151999009030141,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,015,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,12,3 dormitorios,#NULL !,22015199900903,22015199900903015,220151999009030151,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,016,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,7,1 dormitorio,#NULL !,22015199900903,22015199900903016,220151999009030161,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,017,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,6,1 dormitorio,#NULL !,22015199900903,22015199900903017,220151999009030171,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,018,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,12,Sin dormitorio,#NULL !,22015199900903,22015199900903018,220151999009030181,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,019,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,8,2 dormitorios,#NULL !,22015199900903,22015199900903019,220151999009030191,ORELLANA,ORELLANA,DAYUMA,220151999009
Orellana,01,51,999,009,03,020,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,9,2 dormitorios,#NULL !,22015199900903,22015199900903020,220151999009030201,ORELLANA,ORELLANA,DAYUMA,220151999009
